1,0.480864
2,0.688645
3,0.666635
4,0.666635
1,0.480864
2,0.688645
3,0.666635
4,0.666635
1,0.480864
2,0.688645
3,0.666635
4,0.666635
1,0.480864
2,0.688645
3,0.666635
4,0.666667
5,0.666667
1,0.480864
2,0.688645
3,0.666635
4,0.666667
5,0.666667
1,0.480864
2,0.688645
3,0.666635
4,0.666667
5,0.666667
1,2
2,0
3,0.727273
4,1.44987
5,-16.1036
6,-10.0793
7,-6.06673
8,-3.39521
9,-1.6153
10,-0.420938
11,0.409321
12,1.0821
13,2.29672
14,-0.788885
15,0.147045
16,0.84692
17,1.64325
18,-1.0884
19,-0.0610678
20,0.679255
21,1.38397
22,13.0653
23,9.40248
24,6.97743
25,5.39082
26,4.38775
27,3.81487
28,3.57134
29,3.5232
30,3.52138
31,3.52138
1,2
2,0
3,0.727273
4,1.44987
5,-16.1036
6,-10.0793
7,-6.06673
8,-3.39521
9,-1.6153
10,-0.420938
11,0.409321
12,1.0821
13,2.29672
14,-0.788885
15,0.147045
16,0.84692
17,1.64325
18,-1.0884
19,-0.0610678
20,0.679255
21,1.38397
22,13.0653
23,9.40248
24,6.97743
25,5.39082
26,4.38775
27,3.81487
28,3.57134
29,3.5232
30,3.52138
31,3.52138
1,2
2,0
3,0.727273
4,1.44987
5,-16.1036
6,-10.0793
7,-6.06673
8,-3.39521
9,-1.6153
10,-0.420938
11,0.409321
12,1.0821
13,2.29672
14,-0.788885
15,0.147045
16,0.84692
17,1.64325
18,-1.0884
19,-0.0610678
20,0.679255
21,1.38397
22,13.0653
23,9.40248
24,6.97743
25,5.39082
26,4.38775
27,3.81487
28,3.57134
29,3.5232
30,3.52138
31,3.52138
1,2
2,0
3,0.727273
4,1.44987
5,-16.1036
6,-10.0793
7,-6.06673
8,-3.39521
9,-1.6153
10,-0.420938
11,0.409321
12,1.0821
13,2.29672
14,-0.788885
15,0.147045
16,0.84692
17,1.64325
18,-1.0884
19,-0.0610678
20,0.679255
21,1.38397
22,13.0653
23,9.40248
24,6.97743
25,5.39082
26,4.38775
27,3.81487
28,3.57134
29,3.5232
30,3.52138
31,3.52138
32,3.52138
1,2
2,0
3,0.727273
4,1.44987
5,-16.1036
6,-10.0793
7,-6.06673
8,-3.39521
9,-1.6153
10,-0.420938
11,0.409321
12,1.0821
13,2.29672
14,-0.788885
15,0.147045
16,0.84692
17,1.64325
18,-1.0884
19,-0.0610678
20,0.679255
21,1.38397
22,13.0653
23,9.40248
24,6.97743
25,5.39082
26,4.38775
27,3.81487
28,3.57134
29,3.5232
30,3.52138
31,3.52138
32,3.52138
1,2
2,0
3,0.727273
4,1.44987
5,-16.1036
6,-10.0793
7,-6.06673
8,-3.39521
9,-1.6153
10,-0.420938
11,0.409321
12,1.0821
13,2.29672
14,-0.788885
15,0.147045
16,0.84692
17,1.64325
18,-1.0884
19,-0.0610678
20,0.679255
21,1.38397
22,13.0653
23,9.40248
24,6.97743
25,5.39082
26,4.38775
27,3.81487
28,3.57134
29,3.5232
30,3.52138
31,3.52138
32,3.52138
1,1.66667
2,1.59329
3,1.59329
1,1.66667
2,1.59329
3,1.59214
4,1.59214
1,1.66667
2,1.59329
3,1.59214
4,1.59214
1,1.66667
2,1.59329
3,1.59214
4,1.59214
1,1.66667
2,1.59329
3,1.59214
4,1.59214
5,1.59214
1,1.66667
2,1.59329
3,1.59214
4,1.59214
5,1.59214
