1,1.52649
2,1.72216
3,1.71343
4,1.71343
1,1.52649
2,1.72216
3,1.71343
4,1.71386
5,1.71386
1,1.52649
2,1.72216
3,1.71343
4,1.71386
5,1.71386
1,1.52649
2,1.72216
3,1.71343
4,1.71386
5,1.71386
1,1.52649
2,1.72216
3,1.71343
4,1.71386
5,1.71386
1,1.52649
2,1.72216
3,1.71343
4,1.71386
5,1.71386
6,1.71386
1,2
1,2
1,2
1,2
1,2
1,2
1,1.54154
2,1.58799
3,1.59219
4,1.59219
1,1.54154
2,1.58799
3,1.59219
4,1.59219
1,1.54154
2,1.58799
3,1.59219
4,1.59214
5,1.59214
1,1.54154
2,1.58799
3,1.59219
4,1.59214
5,1.59214
1,1.54154
2,1.58799
3,1.59219
4,1.59214
5,1.59214
1,1.54154
2,1.58799
3,1.59219
4,1.59214
5,1.59214
6,1.59214
